Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
THR-19296,"4"""" BLK MED.GRADE SAFETY WALK  """,8.35,0,4.50,8.35,WEST,WEST,"4"""" BLK MED.GRADE SAFETY WALK  """
THR-19297,"6"""" BLK MED.GRADE SAFETY WALK  """,12.53,0,6.75,12.53,WEST,WEST,"6"""" BLK MED.GRADE SAFETY WALK  """
THR-19321,"1"""" GREY MED.GRADE SAFETY WALK """,2.32,0,1.25,2.32,WEST,WEST,"1"""" GREY MED.GRADE SAFETY WALK """
THR-19344,946ML SHARPSHOOTER MARK REMOVR,23.66,1,12.75,23.66,WEST,WEST,946ML SHARPSHOOTER MARK REMOVR
THR-20318MMX55M,"3/4""""  MASKING TAPE            """,4.33,-1,2.33,4.33,WEST,WEST,"3/4""""  MASKING TAPE            """
THR-20324MMX55M,"1""""  MASKING TAPE              """,5.39,-1,2.91,5.39,WEST,WEST,"1""""  MASKING TAPE              """
THR-20336MMX55M,"1-1/2""""  MASKING TAPE          """,8.12,-1,4.37,8.12,WEST,WEST,"1-1/2""""  MASKING TAPE          """
THR-20348MMX55M,"2""""  MASKING TAPE              """,11.52,0,6.21,11.52,WEST,WEST,"2""""  MASKING TAPE              """
THR-20354,"STIKIT LOW PROF DISC PAD 6""""RED""",72.95,0,39.31,72.95,WEST,WEST,"STIKIT LOW PROF DISC PAD 6""""RED"""
THR-20427,"3"""" HOOKIT CLN SND DISC PAD KIT""",87.21,0,47.00,87.21,WEST,WEST,"3"""" HOOKIT CLN SND DISC PAD KIT"""
THR-20452,CLEAN SANDING FILTER BAG,10.74,0,5.79,10.74,WEST,WEST,CLEAN SANDING FILTER BAG
THR-2071,P95 PARTICULATE FILTER 2/PKG,14.01,0,7.55,14.01,WEST,WEST,P95 PARTICULATE FILTER 2/PKG
THR-2078,P95 PARTICULATE FILTER 2/PKG,23.06,0,12.43,23.06,WEST,WEST,P95 PARTICULATE FILTER 2/PKG
THR-2080-24EC,"1""""PAINTERS TAPE DELICATE SURF.""",16.42,0,8.85,16.42,WEST,WEST,"1""""PAINTERS TAPE DELICATE SURF."""
THR-2080-48EC,"2""""PAINTERS TAPE DELICATE SURF.""",31.86,0,17.17,31.86,WEST,WEST,"2""""PAINTERS TAPE DELICATE SURF."""
THR-209018MMX55M,"LONG MASK  MASKNG TAPE 3/4""""   """,10.70,2,5.20,10.70,WEST,WEST,"LONG MASK  MASKNG TAPE 3/4""""   """
THR-209024MMX55M,"LONG MASK  MASKNG TAPE 1""""     """,12.26,1,6.00,12.26,WEST,WEST,"LONG MASK  MASKNG TAPE 1""""     """
THR-209036MMX55M,"LONG MASK  MASKNG TAPE 1-1/2"""" """,18.17,6,8.90,18.17,WEST,WEST,"LONG MASK  MASKNG TAPE 1-1/2"""" """
THR-209048MMX55M,"LONG MASK  MASKNG TAPE 2""""     """,24.50,5,13.34,24.50,WEST,WEST,"LONG MASK  MASKNG TAPE 2""""     """
